STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,Geo_TRACT,Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,Area,PopDensity,2,5,8,11,12,13,14,15,17,18,19,20,21,22,7,6,0,23,max_type
09,001,011000,1400000US09001011000,09001011000,110,CT,4473567,3841130,"POLYGON ((768806.438288436 564631.1307186291, 773167.7386762003 568216.9858246911, 772894.9963931991 569136.3507528628, 772267.6632413638 571066.23751203, 772659.717626273 571435.6167001842, 773163.190601353 573220.9985983544, 772867.0227677367 573499.6507762001, 772895.7006634495 573990.1915887395, 773277.1488220321 574584.8656261686, 773626.0608223744 575328.8841730243, 773714.9478853153 575740.8777927704, 773436.8786216995 575947.205000625, 772737.56084334 576879.7406189007, 772471.2285097073 577446.3350956507, 773629.833235427 578602.0347106173, 774350.6032614382 579150.5086143886, 774817.1858910157 579396.4218908306, 775105.648025069 579476.0471578087, 775189.6430049173 578817.921396149, 775337.8344688687 578150.8102029836, 775677.6070517343 576440.8759546586, 776506.1197939183 574561.2982561348, 777696.8042913773 572121.9704989035, 777834.6563644281 570925.1714906886, 778457.2392525158 570261.7687863637, 777463.5669544403 569334.8562393069, 777250.3681983947 568018.5384675701, 775924.5420107724 567899.4208318287, 775371.7203949238 567158.6657532359, 774331.2418715827 565764.6317210313, 773636.7263203259 562382.5230331481, 769797.5675874106 562164.2047562818, 769497.0495599331 563831.2120486263, 768816.7716654729 564619.161267196, 768806.438288436 564631.1307186291))",11000,9001011000,14000US09001011000,"Census Tract 110, Fairfield County, Connecticut","Census Tract 110, Fairfield County, Connecticut",ct,140,0,ACSSF,492,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5496,65783892.87982019,8.354628708338342e-05,1577751.0,1144459.0,23775.0,1180392.0,71818.0,12375.0,1586.0,17531.0,132.0,136572.0,423692.0,142589.0,1378858.0,,,,,,2
09,001,020800,1400000US09001020800,09001020800,208,CT,2315472,0,"POLYGON ((779750.7629708104 593331.0275135248, 780102.6139809288 595250.2209003912, 780119.8560718803 595445.7312826976, 780139.7299715474 596911.7943307124, 780148.0674519149 598292.7002643993, 780074.0463847662 598902.9838971095, 780552.9998962044 598954.3151028745, 781387.993744244 598398.6150320522, 782684.6364743796 598227.1515562376, 783170.6777995656 597148.9082434665, 783316.0917052036 596953.3729629738, 784504.7587077131 596232.0573717506, 784364.8924199397 595458.6624964537, 783938.3571338309 594537.3802827249, 783732.0044829361 593002.6845650596, 783880.2153387759 591896.5553358942, 783643.6192322319 591982.873548278, 782377.4677980993 591938.6574076655, 781512.7931210541 591630.294777305, 781335.8135280978 591933.256770274, 779981.0957844695 591763.5428521854, 779710.309182729 592265.603853638, 779750.7629708104 593331.0275135248))",20800,9001020800,14000US09001020800,"Census Tract 208, Fairfield County, Connecticut","Census Tract 208, Fairfield County, Connecticut",ct,140,0,ACSSF,503,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2831,24949690.426343836,0.00011346834175588843,809638.0,618991.0,1726.0,846657.0,9915.0,3038.0,,,,,,27939.0,,,,,,,11
09,001,021400,1400000US09001021400,09001021400,214,CT,1640443,0,"POLYGON ((774314.4774130288 583462.5078830764, 776262.6175639037 583331.5455795395, 776634.0110612481 583231.1377058183, 776630.9478668829 582786.6284507437, 777076.7712447866 582504.0711564334, 777226.0473740358 582333.6051293247, 777967.800527936 582135.750242745, 779230.3349118469 582148.7985211428, 779374.903545503 582123.4109660935, 779221.4128478128 581245.2312401602, 778564.2907222403 580788.9357889239, 778444.8675329385 580819.9244221783, 778257.0298062426 580790.699453364, 778136.31890765 579290.5975388119, 778166.8779380136 579284.1187229701, 778049.8824252473 578036.1302430007, 778317.7168036986 577884.6083922252, 777877.4191984361 577853.3630087291, 775337.8344688687 578150.8102029836, 775189.6430049173 578817.921396149, 775105.648025069 579476.0471578087, 774813.0597857826 581003.3570846545, 774582.7212969905 581642.8275502562, 774314.4774130288 583462.5078830764))",21400,9001021400,14000US09001021400,"Census Tract 214, Fairfield County, Connecticut","Census Tract 214, Fairfield County, Connecticut",ct,140,0,ACSSF,509,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6956,17697211.8280657,0.0003930562660140961,1127059.0,252242.0,4375.0,231148.0,15583.0,,,,,,,13728.0,,,,,,,2
09,001,022200,1400000US09001022200,09001022200,222,CT,1442382,117063,"POLYGON ((780699.029105046 578728.3344804997, 781267.249091909 578934.0860761312, 782256.465191386 579357.5410394404, 782460.8920958246 579450.776067516, 783259.0451779416 579889.4987740458, 783478.3234505286 579371.5516728027, 783682.2763823242 579473.9107942526, 784656.6777133591 577562.6898459818, 784551.6578041024 576595.4968842284, 782881.563389613 574726.4708215322, 782706.4185037309 573339.8006444189, 782257.8472545149 574344.465287941, 782198.1800765232 574095.0495412687, 782226.8278262211 572821.2995546737, 781256.9773896508 574116.7845405319, 780900.2757302348 576193.3513789994, 780717.6950503798 577398.9239977613, 780739.5574927852 577796.2556178125, 780660.6968004748 578339.8994173373, 780699.029105046 578728.3344804997))",22200,9001022200,14000US09001022200,"Census Tract 222, Fairfield County, Connecticut","Census Tract 222, Fairfield County, Connecticut",ct,140,0,ACSSF,518,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4468,16672245.522749813,0.0002679902952426697,1034456.0,216203.0,557.0,91714.0,5287.0,,,,,,20584.0,80161.0,99956.0,,,,,,2
09,001,043100,1400000US09001043100,09001043100,431,CT,6652660,58522,"POLYGON ((801316.652144019 604980.2196045901, 803589.8036078524 608840.1067050997, 803777.6899630682 608973.0108039768, 804905.9882968987 609895.4380469627, 805453.993704197 608857.2277541617, 806466.4180975048 607631.6068267454, 806631.5820438878 606053.261073419, 806318.881516683 604871.5928133649, 806569.04581466 603951.7053751901, 805827.4333603684 603333.2076533101, 806718.7585707258 602366.563734728, 806814.3906477807 601688.0555419058, 808359.592244849 601037.1900197098, 809455.5032279969 599747.9933642522, 809554.7840468814 599721.32880088, 809602.8094441568 599730.0540727095, 809815.8130229947 599690.4573750424, 810195.9949442128 599497.95097306, 810959.4038729578 598834.5525684742, 810896.7970217082 598273.9175863432, 809888.2797342546 597616.6044813059, 807687.7404084601 595171.4832624412, 807197.3672380127 594732.0071899145, 806902.6696890199 594560.5891030809, 806051.248682954 594168.5194274818, 806065.7603878038 595002.8128582695, 805449.1477901605 595548.204994781, 803726.7875540259 598384.0346088415, 801833.5792087058 601006.7987884998, 800343.2837210387 603354.149205059, 801316.652144019 604980.2196045901))",43100,9001043100,14000US09001043100,"Census Tract 431, Fairfield County, Connecticut","Census Tract 431, Fairfield County, Connecticut",ct,140,0,ACSSF,536,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4894,72105736.83076884,6.7872546833356e-05,1891481.0,1518050.0,69397.0,2951298.0,59342.0,111854.0,3868.0,14487.0,,,,9940.0,68655.0,486.0,,,,,11
09,001,045400,1400000US09001045400,09001045400,454,CT,7692426,36965,"POLYGON ((814887.4014252683 627898.416240078, 815410.3072338831 628236.8627184605, 815727.6867582165 628519.3411296151, 817027.9216903673 627318.5343607528, 817692.5423741495 627113.3908235155, 818209.9588973165 627493.1147536834, 818402.4039996418 628108.8912709535, 818278.8165751167 628939.1464564918, 819197.4826767788 629821.2136291771, 820637.7114056186 629905.4099113296, 821766.6659265552 630143.238323448, 821742.2356391969 631694.5532179467, 821461.4146193316 632490.2623338468, 822973.3464264112 633836.9742170055, 824104.924408143 633974.3260445839, 825615.0124413916 630974.6272696215, 826708.2722503333 629047.4918906748, 826175.0984751357 627881.7503806734, 825219.6301515942 624924.9555672307, 824601.46944594 623494.6112942745, 822467.6659626069 623974.2837835466, 821507.3572030887 623390.0944445479, 821259.9040801917 623252.7623607037, 819700.0071591506 622399.150285046, 816780.7495804635 620781.0499415484, 815790.2347408009 620029.3467639836, 814891.7649876572 619754.6599963336, 815453.020380365 621144.7521991673, 815487.966505199 625685.6526752774, 815088.6553247835 627547.417518641, 814887.4014252683 627898.416240078))",45400,9001045400,14000US09001045400,"Census Tract 454, Fairfield County, Connecticut","Census Tract 454, Fairfield County, Connecticut",ct,140,0,ACSSF,556,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3585,83354673.78219679,4.300898602719621e-05,1421369.0,1249809.0,118159.0,4484552.0,101857.0,255101.0,17295.0,13295.0,,,,32623.0,47836.0,2064.0,,,,,11
09,001,061300,1400000US09001061300,09001061300,613,CT,1250145,0,"POLYGON ((863462.6046573637 625353.9001284145, 864433.8775367065 625934.9766701595, 864500.1107503001 625866.8269648431, 864816.9449089034 625667.5372222466, 866185.0202666589 626080.2818632168, 866182.7982909803 626174.665485383, 866612.558537377 626179.9034594267, 867546.2060998898 626005.9844160149, 868573.0984294334 625964.5807159296, 869765.3395309243 625350.6238134761, 869542.2708279404 624483.5597659117, 869094.164523917 624451.7708629613, 869040.1379708464 624139.8057801995, 868199.268952649 624328.4548778742, 868080.1066221411 623939.9714434418, 866945.5206561955 623496.661104717, 866801.2007781115 623438.4412364713, 866242.7923010582 623429.1857647336, 865036.8419231602 622695.6025114332, 864281.1220341033 623672.7621309467, 864219.9233207327 623803.9191928912, 863709.7464233246 624475.0861977799, 863190.716978373 625181.658942753, 863462.6046573637 625353.9001284145))",61300,9001061300,14000US09001061300,"Census Tract 613, Fairfield County, Connecticut","Census Tract 613, Fairfield County, Connecticut",ct,140,0,ACSSF,577,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3320,13423080.24332741,0.0002473351823736855,654240.0,271221.0,,276933.0,25174.0,8244.0,1283.0,9557.0,,,,384.0,,,,,,,2
09,001,070200,1400000US09001070200,09001070200,702,CT,843487,59847,"POLYGON ((868541.9875003183 620881.8345044594, 869374.8904156352 621677.0320763384, 869550.7721599584 621715.783056143, 869778.8889769107 621790.3216780747, 871559.5460114576 622099.8272911963, 871301.005099558 621794.792162053, 870963.1300764832 621383.0661891042, 871380.8429142883 620672.1115668389, 871489.831877591 619591.9049051998, 871497.5386900901 619030.3746863545, 871627.3414947224 617619.940783682, 870857.0267596811 617154.4406737078, 870309.0109646902 617461.6669502166, 869796.1213931516 619203.2245208398, 869256.0626591948 619093.232220925, 868342.8226867388 620169.87007011, 868541.9875003183 620881.8345044594))",70200,9001070200,14000US09001070200,"Census Tract 702, Fairfield County, Connecticut","Census Tract 702, Fairfield County, Connecticut",ct,140,0,ACSSF,582,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218,9652425.688305913,0.00043698860122903436,572716.0,151199.0,3338.0,91080.0,7438.0,,,,,,23454.0,5400.0,42104.0,,,,,,2
09,001,072000,1400000US09001072000,09001072000,720,CT,687911,0,"POLYGON ((872424.1120479389 630723.7450105178, 874399.6132445801 631996.1661824698, 874843.720716916 631244.3220529144, 875035.6869548626 630902.2652018194, 875375.4653086687 630403.1215927104, 876150.9669281613 629955.2719438551, 875657.329878038 629458.6651558788, 874288.6694901964 627772.6474475933, 873101.3238268176 629663.822134254, 872424.1120479389 630723.7450105178))",72000,9001072000,14000US09001072000,"Census Tract 720, Fairfield County, Connecticut","Census Tract 720, Fairfield County, Connecticut",ct,140,0,ACSSF,595,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3657,7402944.448162205,0.0004939926303118292,464783.0,126861.0,1720.0,85384.0,6066.0,,,,,,,2941.0,,,,,,,2
09,001,073200,1400000US09001073200,09001073200,732,CT,392617,0,"POLYGON ((886478.4108634776 633455.940812959, 886818.079258643 633643.0634096295, 887180.4832886285 635665.0312398863, 887743.7063949499 635125.6541432025, 888063.2796174646 634324.7282803708, 888144.5029349254 634040.8692457954, 888574.9156732542 632279.3251365229, 887759.482766731 632346.1950432406, 886275.2430945308 632809.0685149115, 886478.4108634776 633455.940812959))",73200,9001073200,14000US09001073200,"Census Tract 732, Fairfield County, Connecticut","Census Tract 732, Fairfield County, Connecticut",ct,140,0,ACSSF,607,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2555,4065712.2769799028,0.0006284261713418413,170761.0,124784.0,,78998.0,3174.0,,,,,,,,,,,,,,2
