STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,Geo_TRACT,Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,Area,PopDensity,2,5,8,11,12,13,14,15,17,18,19,20,21,22,7,6,0,23,max_type
09,001,011000,1400000US09001011000,09001011000,110,CT,4473567,3841130,"POLYGON ((-8191739.173321358 5013468.769836016, -8189994.014419017 5014937.563913562, -8190107.560299627 5015308.779551716, -8190368.047908084 5016087.847347826, -8190211.310065047 5016238.946515783, -8190015.053802777 5016963.930577908, -8190135.612811307 5017075.641664024, -8190125.9280156065 5017274.422691055, -8189974.310869146 5017516.743296935, -8189836.386020054 5017819.4311797405, -8189802.09961689 5017986.644083429, -8189915.088900045 5018069.144714084, -8190200.846032911 5018444.16982909, -8190310.495731343 5018672.645591414, -8189847.406649643 5019145.259152866, -8189558.643890524 5019370.208850514, -8189371.29318752 5019471.615043869, -8189255.186958623 5019504.9745179545, -8189218.785485134 5019238.6923514055, -8189156.446570288 5018969.022675136, -8189012.844427166 5018277.686999271, -8188671.427548902 5017519.547285725, -8188181.844428395 5016536.134742569, -8188121.731903365 5016051.9911519345, -8187868.089418897 5015785.691226259, -8188265.445365979 5015406.602249455, -8188346.485955276 5014872.79443433, -8188880.819511085 5014819.533295335, -8189100.989764052 5014517.496470886, -8189515.340608606 5013949.101750779, -8189782.507386509 5012577.223836741, -8191329.848308537 5012473.972043056, -8191457.531764477 5013147.636009128, -8191734.959076195 5013463.964583874, -8191739.173321358 5013468.769836016))",11000,9001011000,14000US09001011000,"Census Tract 110, Fairfield County, Connecticut","Census Tract 110, Fairfield County, Connecticut",ct,140,0,ACSSF,492,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5496,10.746601285134304,511.4175034671266,1577751.0,1144459.0,23775.0,1180392.0,71818.0,12375.0,1586.0,17531.0,132.0,136572.0,423692.0,142589.0,1378858.0,,,,,,2
09,001,020800,1400000US09001020800,09001020800,208,CT,2315472,0,"POLYGON ((-8187432.3302968815 5025136.840236097, -8187297.41107404 5025916.106100016, -8187291.177182557 5025995.424576373, -8187288.616834268 5026589.816809171, -8187290.397946121 5027149.67778239, -8187322.56927896 5027396.82457976, -8187129.318642943 5027419.427081653, -8186790.016835005 5027197.245295988, -8186265.702033371 5027132.541716619, -8186065.438269432 5026697.207162061, -8186005.993661348 5026618.473815959, -8185523.312349269 5026330.430432805, -8185576.968343832 5026016.399030463, -8185745.840011366 5025641.376724367, -8185823.541015939 5025018.537906155, -8185759.643628223 5024570.7448930135, -8185855.489709795 5024604.860322306, -8186366.557492029 5024582.264375209, -8186714.542220248 5024454.073984838, -8186787.122528246 5024576.209261068, -8187333.478589058 5024502.366709629, -8187444.68676036 5024704.84432744, -8187432.3302968815 5025136.840236097))",20800,9001020800,14000US09001020800,"Census Tract 208, Fairfield County, Connecticut","Census Tract 208, Fairfield County, Connecticut",ct,140,0,ACSSF,503,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2831,4.08444194769688,693.1179427329929,809638.0,618991.0,1726.0,846657.0,9915.0,3038.0,,,,,,27939.0,,,,,,,11
09,001,021400,1400000US09001021400,09001021400,214,CT,1640443,0,"POLYGON ((-8189589.702028457 5021116.993618919, -8188802.89586753 5021071.375113647, -8188652.614554958 5021032.104986264, -8188652.169276995 5020851.995910233, -8188471.163784965 5020739.207993126, -8188410.272023501 5020670.709164535, -8188110.154676322 5020593.353309732, -8187600.645366962 5020603.39182098, -8187542.202634295 5020593.648559914, -8187600.8680059435 5020237.288122507, -8187864.361240651 5020049.960559725, -8187912.673899656 5020062.065147253, -8187988.371153396 5020049.517709248, -8188031.451796333 5019441.35544303, -8188019.095332854 5019438.846114509, -8188061.619378337 5018932.860644184, -8187952.971555322 5018872.492492487, -8188130.526143138 5018858.175406417, -8189156.446570288 5018969.022675136, -8189218.785485134 5019238.6923514055, -8189255.186958623 5019504.9745179545, -8189379.085551875 5020122.588311206, -8189474.486355486 5020380.775508091, -8189589.702028457 5021116.993618919))",21400,9001021400,14000US09001021400,"Census Tract 214, Fairfield County, Connecticut","Census Tract 214, Fairfield County, Connecticut",ct,140,0,ACSSF,509,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6956,2.89369644478669,2403.845784353778,1127059.0,252242.0,4375.0,231148.0,15583.0,,,,,,,13728.0,,,,,,,2
09,001,022200,1400000US09001022200,09001022200,222,CT,1442382,117063,"POLYGON ((-8186995.178656538 5019223.193891366, -8186766.639741939 5019308.657135975, -8186369.0065208245 5019483.866518826, -8186286.85273662 5019522.392341989, -8185966.363922627 5019703.067206696, -8185875.9724961035 5019494.0514917, -8185794.041350878 5019536.2675800985, -8185393.847781476 5018765.631451918, -8185432.698283764 5018373.4733143225, -8186099.724672597 5017610.308412611, -8186165.291852673 5017048.045807309, -8186349.9708879 5017453.284819647, -8186373.125341984 5017352.047269814, -8186356.872696328 5016836.283419112, -8186752.94744457 5017357.360001302, -8186904.5645910315 5018197.103250053, -8186982.710873568 5018684.748462549, -8186975.363787177 5018845.777122129, -8187009.204912377 5019065.701418989, -8186995.178656538 5019223.193891366))",22200,9001022200,14000US09001022200,"Census Tract 222, Fairfield County, Connecticut","Census Tract 222, Fairfield County, Connecticut",ct,140,0,ACSSF,518,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4468,2.7252374589130866,1639.490160898487,1034456.0,216203.0,557.0,91714.0,5287.0,,,,,,20584.0,80161.0,99956.0,,,,,,2
09,001,043100,1400000US09001043100,09001043100,431,CT,6652660,58522,"POLYGON ((-8178763.436270848 5029936.7593946485, -8177857.963532735 5031509.869719094, -8177782.488917978 5031564.404846155, -8177329.64122943 5031942.3165791435, -8177104.775858028 5031523.023149856, -8176691.669227693 5031029.264462778, -8176619.756836642 5030389.676697362, -8176742.208276514 5029909.422485522, -8176638.1245526215 5029537.204887184, -8176935.681551513 5029283.945501329, -8176572.446053056 5028894.908228917, -8176531.5917999325 5028620.09449328, -8175905.308344731 5028361.244804562, -8175458.471908686 5027842.088793026, -8175418.285572509 5027831.599586811, -8175398.915981111 5027835.292967988, -8175312.754695238 5027819.928511536, -8175158.577200488 5027743.106594273, -8174848.107140666 5027476.5983508965, -8174871.595553224 5027249.097105974, -8175276.798499711 5026979.3525422225, -8176157.558310867 5025980.949275341, -8176354.148531608 5025801.191468688, -8176472.592469813 5025730.736769957, -8176815.122542984 5025569.003075663, -8176812.005597241 5025907.24374069, -8177062.808409998 5026126.294094351, -8177767.794745191 5027270.221996897, -8178541.2425672235 5028327.26390854, -8179151.16205728 5029274.045764651, -8178763.436270848 5029936.7593946485))",43100,9001043100,14000US09001043100,"Census Tract 431, Fairfield County, Connecticut","Census Tract 431, Fairfield County, Connecticut",ct,140,0,ACSSF,536,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4894,11.811052911356235,414.3576391309243,1891481.0,1518050.0,69397.0,2951298.0,59342.0,111854.0,3868.0,14487.0,,,,9940.0,68655.0,486.0,,,,,11
09,001,045400,1400000US09001045400,09001045400,454,CT,7692426,36965,"POLYGON ((-8173352.975059821 5039279.856959656, -8173142.581222221 5039418.893162432, -8173015.120405265 5039534.560971023, -8172485.57358756 5039051.19111949, -8172216.180419841 5038969.990900619, -8172008.1242915485 5039125.736181985, -8171932.204398829 5039376.29462442, -8171984.747198481 5039712.946513981, -8171615.945725484 5040073.869269081, -8171033.7447886355 5040112.476966622, -8170577.891473836 5040212.473097977, -8170592.474327129 5040842.2061870545, -8170708.469236536 5041164.411044478, -8170100.998775278 5041715.7938128505, -8169643.698307099 5041774.972793428, -8169023.982701852 5040561.580112084, -8168576.144390392 5039782.467474288, -8168788.319339844 5039307.664040556, -8169165.915052615 5038104.637039962, -8169411.597168796 5037522.256440161, -8170275.770375824 5037710.5132772345, -8170662.271647858 5037470.497542404, -8170761.902592118 5037414.006718141, -8171389.967159173 5037062.794977607, -8172565.167023478 5036397.08033099, -8172963.245522554 5036088.932927477, -8173325.590465086 5035974.636981667, -8173103.062802991 5036540.511207231, -8173103.174122481 5038383.56508385, -8173270.487317143 5039138.012507213, -8173352.975059821 5039279.856959656))",45400,9001045400,14000US09001045400,"Census Tract 454, Fairfield County, Connecticut","Census Tract 454, Fairfield County, Connecticut",ct,140,0,ACSSF,556,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3585,13.68253286298422,262.0128916115094,1421369.0,1249809.0,118159.0,4484552.0,101857.0,255101.0,17295.0,13295.0,,,,32623.0,47836.0,2064.0,,,,,11
09,001,061300,1400000US09001061300,09001061300,613,CT,1250145,0,"POLYGON ((-8153703.637781429 5038380.311370024, -8153312.238451798 5038618.42695, -8153285.2991350265 5038590.917646081, -8153156.7251231605 5038510.756571537, -8152604.469129336 5038681.432424291, -8152605.582324245 5038719.738769768, -8152431.812599115 5038722.84469631, -8152053.882927873 5038654.3666421715, -8151638.5499077225 5038639.872429286, -8151155.089359207 5038393.326231883, -8151243.365715407 5038040.895862424, -8151424.482526927 5038026.994129989, -8151445.633230178 5037900.252659564, -8151786.048233025 5037974.936755956, -8151833.35901661 5037816.991662475, -8152291.1047627535 5037634.500256992, -8152349.324856438 5037610.5429695435, -8152575.080783767 5037605.514904388, -8153060.990361078 5037305.018807281, -8153368.788753123 5037699.865503072, -8153393.835638551 5037752.956604421, -8153601.669127861 5038024.184207772, -8153813.176160369 5038309.765207151, -8153703.637781429 5038380.311370024))",61300,9001061300,14000US09001061300,"Census Tract 613, Fairfield County, Connecticut","Census Tract 613, Fairfield County, Connecticut",ct,140,0,ACSSF,577,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3320,2.203046186817634,1507.0042652150835,654240.0,271221.0,,276933.0,25174.0,8244.0,1283.0,9557.0,,,,384.0,,,,,,,2
09,001,070200,1400000US09001070200,09001070200,702,CT,843487,59847,"POLYGON ((-8151639.774422121 5036576.886797868, -8151304.814074325 5036901.463661994, -8151233.7922391975 5036917.581885304, -8151141.731020312 5036948.339670241, -8150422.495790296 5037077.878335991, -8150526.356875206 5036953.515268651, -8150662.055334484 5036785.679414729, -8150491.62519408 5036498.07319074, -8150445.204966418 5036059.952197864, -8150440.863506278 5035832.101623678, -8150385.315080372 5035260.059124625, -8150695.673820702 5035069.484358314, -8150917.867524327 5035192.936165009, -8151129.040598362 5035898.489719425, -8151347.115480826 5035852.653791797, -8151718.699941093 5036287.512401236, -8151639.774422121 5036576.886797868))",70200,9001070200,14000US09001070200,"Census Tract 702, Fairfield County, Connecticut","Census Tract 702, Fairfield County, Connecticut",ct,140,0,ACSSF,582,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218,1.583544886211526,2663.6441042673227,572716.0,151199.0,3338.0,91080.0,7438.0,,,,,,23454.0,5400.0,42104.0,,,,,,2
09,001,072000,1400000US09001072000,09001072000,720,CT,687911,0,"POLYGON ((-8150091.654263659 5040580.367159918, -8149295.385946016 5041101.241478742, -8149114.157815003 5040796.93859486, -8149035.788893485 5040658.474332192, -8148897.307446937 5040456.550830998, -8148582.718565957 5040276.376491855, -8148781.312537531 5040073.721347163, -8149331.23082205 5039386.352595666, -8149815.470607002 5040151.528587364, -8150091.654263659 5040580.367159918))",72000,9001072000,14000US09001072000,"Census Tract 720, Fairfield County, Connecticut","Census Tract 720, Fairfield County, Connecticut",ct,140,0,ACSSF,595,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3657,1.2155410488227603,3008.5368186798537,464783.0,126861.0,1720.0,85384.0,6066.0,,,,,,,2941.0,,,,,,,2
09,001,073200,1400000US09001073200,09001073200,732,CT,392617,0,"POLYGON ((-8144412.69044084 5041718.604806246, -8144275.656147674 5041795.241677427, -8144132.944560477 5042616.980921352, -8143904.071687406 5042399.0371605335, -8143773.271285723 5042074.423980426, -8143739.875438486 5041959.317635976, -8143562.432170161 5041244.889963994, -8143892.383140871 5041270.483584083, -8144493.619710647 5041455.55853784, -8144412.69044084 5041718.604806246))",73200,9001073200,14000US09001073200,"Census Tract 732, Fairfield County, Connecticut","Census Tract 732, Fairfield County, Connecticut",ct,140,0,ACSSF,607,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2555,0.6677827971720512,3826.094369037356,170761.0,124784.0,,78998.0,3174.0,,,,,,,,,,,,,,2
