Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001
"09001010101","14000US09001010101","Census Tract 101.01, Fairfield County, Connecticut","Census Tract 101.01, Fairfield County, Connecticut","ct","140","00","ACSSF","0000481",,,,,"09","001",,,,"010101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4132
"09001010102","14000US09001010102","Census Tract 101.02, Fairfield County, Connecticut","Census Tract 101.02, Fairfield County, Connecticut","ct","140","00","ACSSF","0000482",,,,,"09","001",,,,"010102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4174
"09001010201","14000US09001010201","Census Tract 102.01, Fairfield County, Connecticut","Census Tract 102.01, Fairfield County, Connecticut","ct","140","00","ACSSF","0000483",,,,,"09","001",,,,"010201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3277
"09001010202","14000US09001010202","Census Tract 102.02, Fairfield County, Connecticut","Census Tract 102.02, Fairfield County, Connecticut","ct","140","00","ACSSF","0000484",,,,,"09","001",,,,"010202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5546
"09001010300","14000US09001010300","Census Tract 103, Fairfield County, Connecticut","Census Tract 103, Fairfield County, Connecticut","ct","140","00","ACSSF","0000485",,,,,"09","001",,,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4049
"09001010400","14000US09001010400","Census Tract 104, Fairfield County, Connecticut","Census Tract 104, Fairfield County, Connecticut","ct","140","00","ACSSF","0000486",,,,,"09","001",,,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5847
"09001010500","14000US09001010500","Census Tract 105, Fairfield County, Connecticut","Census Tract 105, Fairfield County, Connecticut","ct","140","00","ACSSF","0000487",,,,,"09","001",,,,"010500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050
"09001010600","14000US09001010600","Census Tract 106, Fairfield County, Connecticut","Census Tract 106, Fairfield County, Connecticut","ct","140","00","ACSSF","0000488",,,,,"09","001",,,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700
"09001010700","14000US09001010700","Census Tract 107, Fairfield County, Connecticut","Census Tract 107, Fairfield County, Connecticut","ct","140","00","ACSSF","0000489",,,,,"09","001",,,,"010700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3730
"09001010800","14000US09001010800","Census Tract 108, Fairfield County, Connecticut","Census Tract 108, Fairfield County, Connecticut","ct","140","00","ACSSF","0000490",,,,,"09","001",,,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3376
"09001010900","14000US09001010900","Census Tract 109, Fairfield County, Connecticut","Census Tract 109, Fairfield County, Connecticut","ct","140","00","ACSSF","0000491",,,,,"09","001",,,,"010900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5347
"09001011000","14000US09001011000","Census Tract 110, Fairfield County, Connecticut","Census Tract 110, Fairfield County, Connecticut","ct","140","00","ACSSF","0000492",,,,,"09","001",,,,"011000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5496
"09001011100","14000US09001011100","Census Tract 111, Fairfield County, Connecticut","Census Tract 111, Fairfield County, Connecticut","ct","140","00","ACSSF","0000493",,,,,"09","001",,,,"011100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4446
"09001011200","14000US09001011200","Census Tract 112, Fairfield County, Connecticut","Census Tract 112, Fairfield County, Connecticut","ct","140","00","ACSSF","0000494",,,,,"09","001",,,,"011200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633
"09001011300","14000US09001011300","Census Tract 113, Fairfield County, Connecticut","Census Tract 113, Fairfield County, Connecticut","ct","140","00","ACSSF","0000495",,,,,"09","001",,,,"011300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3615
"09001020100","14000US09001020100","Census Tract 201, Fairfield County, Connecticut","Census Tract 201, Fairfield County, Connecticut","ct","140","00","ACSSF","0000496",,,,,"09","001",,,,"020100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296
"09001020200","14000US09001020200","Census Tract 202, Fairfield County, Connecticut","Census Tract 202, Fairfield County, Connecticut","ct","140","00","ACSSF","0000497",,,,,"09","001",,,,"020200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3465
"09001020300","14000US09001020300","Census Tract 203, Fairfield County, Connecticut","Census Tract 203, Fairfield County, Connecticut","ct","140","00","ACSSF","0000498",,,,,"09","001",,,,"020300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7197
"09001020400","14000US09001020400","Census Tract 204, Fairfield County, Connecticut","Census Tract 204, Fairfield County, Connecticut","ct","140","00","ACSSF","0000499",,,,,"09","001",,,,"020400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3937
"09001020500","14000US09001020500","Census Tract 205, Fairfield County, Connecticut","Census Tract 205, Fairfield County, Connecticut","ct","140","00","ACSSF","0000500",,,,,"09","001",,,,"020500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4972
"09001020600","14000US09001020600","Census Tract 206, Fairfield County, Connecticut","Census Tract 206, Fairfield County, Connecticut","ct","140","00","ACSSF","0000501",,,,,"09","001",,,,"020600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5453
"09001020700","14000US09001020700","Census Tract 207, Fairfield County, Connecticut","Census Tract 207, Fairfield County, Connecticut","ct","140","00","ACSSF","0000502",,,,,"09","001",,,,"020700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4207
"09001020800","14000US09001020800","Census Tract 208, Fairfield County, Connecticut","Census Tract 208, Fairfield County, Connecticut","ct","140","00","ACSSF","0000503",,,,,"09","001",,,,"020800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2831
"09001020900","14000US09001020900","Census Tract 209, Fairfield County, Connecticut","Census Tract 209, Fairfield County, Connecticut","ct","140","00","ACSSF","0000504",,,,,"09","001",,,,"020900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5146
"09001021000","14000US09001021000","Census Tract 210, Fairfield County, Connecticut","Census Tract 210, Fairfield County, Connecticut","ct","140","00","ACSSF","0000505",,,,,"09","001",,,,"021000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3292
"09001021100","14000US09001021100","Census Tract 211, Fairfield County, Connecticut","Census Tract 211, Fairfield County, Connecticut","ct","140","00","ACSSF","0000506",,,,,"09","001",,,,"021100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5768
"09001021200","14000US09001021200","Census Tract 212, Fairfield County, Connecticut","Census Tract 212, Fairfield County, Connecticut","ct","140","00","ACSSF","0000507",,,,,"09","001",,,,"021200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4305
"09001021300","14000US09001021300","Census Tract 213, Fairfield County, Connecticut","Census Tract 213, Fairfield County, Connecticut","ct","140","00","ACSSF","0000508",,,,,"09","001",,,,"021300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4678
"09001021400","14000US09001021400","Census Tract 214, Fairfield County, Connecticut","Census Tract 214, Fairfield County, Connecticut","ct","140","00","ACSSF","0000509",,,,,"09","001",,,,"021400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6956
"09001021500","14000US09001021500","Census Tract 215, Fairfield County, Connecticut","Census Tract 215, Fairfield County, Connecticut","ct","140","00","ACSSF","0000510",,,,,"09","001",,,,"021500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5905
"09001021600","14000US09001021600","Census Tract 216, Fairfield County, Connecticut","Census Tract 216, Fairfield County, Connecticut","ct","140","00","ACSSF","0000511",,,,,"09","001",,,,"021600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7790
